year,stock_accumulation,stock_price,bonds,inflation
1882,,,,
1883,0.29,0.219,0.038,-0.029
1884,0.044,-0.017,0.037,-0.088
1885,0.113,0.047,0.038,0.098
1886,0.029,-0.036,0.038,0.044
1887,0.282,0.206,0.036,-0.04
1888,0.262,0.195,0.034,-0.029
1889,-0.011,-0.068,0.034,0.01
1890,0.014,-0.048,0.035,0.008
1891,-0.104,-0.159,0.038,0.001
1892,0.063,-0.007,0.038,-0.03
1893,-0.049,-0.113,0.038,-0.063
1894,0.106,0.029,0.035,-0.054
1895,0.201,0.126,0.033,0.008
1896,0.017,-0.037,0.032,0.012
1897,0.085,0.03,0.03,0.042
1898,0.155,0.097,0.033,-0.048
1899,0.121,0.067,0.035,0.003
1900,0.122,0.07,0.033,-0.004
1901,-0.032,-0.079,0.033,0.051
1902,0.156,0.098,0.035,0.064
1903,0.219,0.159,0.036,-0.02
1904,0.075,0.022,0.037,-0.061
1905,0.146,0.095,0.035,0.043
1906,0.102,0.058,0.035,0
1907,0.088,0.046,0.035,0
1908,0.173,0.126,0.035,0.063
1909,0.135,0.09,0.036,0
1910,0.067,0.025,0.038,0.02
1911,0.107,0.062,0.038,0.019
1912,0.086,0.036,0.039,0.113
1913,0.089,0.038,0.043,0
1914,0.114,0.059,0.043,0.034
1915,-0.035,-0.083,0.046,0.148
1916,-0.034,-0.084,0.049,0.014
1917,0.155,0.095,0.047,0.056
1918,0.075,0.019,0.05,0.067
1919,0.187,0.126,0.054,0.138
1920,0.081,0.025,0.067,0.132
1921,0.199,0.126,0.059,-0.126
1922,0.213,0.148,0.057,-0.033
1923,0.162,0.102,0.059,0.023
1924,0.137,0.076,0.054,-0.011
1925,0.177,0.114,0.052,0
1926,0.141,0.082,0.053,0.023
1927,0.124,0.065,0.054,-0.011
1928,0.177,0.115,0.053,0
1929,-0.053,-0.101,0.056,0.022
1930,-0.296,-0.339,0.065,-0.044
1931,0.177,0.113,0.047,-0.103
1932,0.248,0.199,0.039,-0.051
1933,0.256,0.211,0.036,-0.041
1934,0.232,0.191,0.033,0.028
1935,0.101,0.062,0.037,0.014
1936,0.198,0.154,0.04,0.014
1937,0.024,-0.017,0.037,0.04
1938,-0.005,-0.051,0.039,0.026
1939,0.053,0.002,0.038,0.025
1940,0.035,-0.017,0.031,0.037
1941,-0.055,-0.101,0.033,0.047
1942,0.184,0.124,0.032,0.09
1943,0.089,0.045,0.032,0.041
1944,0.08,0.036,0.032,-0.01
1945,0.141,0.096,0.033,0
1946,0.133,0.092,0.032,0.02
1947,0.166,0.127,0.032,0.039
1948,0.024,-0.011,0.031,0.104
1949,0.081,0.04,0.031,0.088
1950,0.314,0.267,0.032,0.108
1951,-0.046,-0.083,0.038,0.256
1952,-0.133,-0.175,0.045,0.097
1953,0.13,0.077,0.044,0.018
1954,0.186,0.131,0.045,0.009
1955,0.103,0.047,0.045,0.034
1956,0.077,0.017,0.051,0.067
1957,0.167,0.105,0.05,0.008
1958,0.189,0.129,0.049,0.016
1959,0.443,0.381,0.048,0.023
1960,-0.062,-0.099,0.053,0.045
1961,0.116,0.066,0.049,0.007
1962,0.042,-0.001,0.047,0
1963,0.266,0.216,0.043,0.007
1964,0.044,0.005,0.048,0.035
1965,-0.082,-0.121,0.052,0.041
1966,0.067,0.021,0.05,0.026
1967,0.425,0.369,0.051,0.032
1968,0.348,0.307,0.049,0.025
1969,0.101,0.069,0.056,0.03
1970,-0.137,-0.167,0.064,0.047
1971,-0.061,-0.098,0.057,0.073
1972,0.364,0.318,0.053,0.047
1973,-0.258,-0.287,0.081,0.129
1974,-0.262,-0.309,0.092,0.163
1975,0.546,0.454,0.1,0.144
1976,0.036,-0.02,0.104,0.142
1977,0.132,0.066,0.095,0.093
1978,0.243,0.176,0.088,0.077
1979,0.39,0.32,0.101,0.101
1980,0.523,0.458,0.126,0.092
1981,-0.108,-0.144,0.15,0.113
1982,-0.153,-0.197,0.14,0.11
1983,0.637,0.566,0.135,0.086
1984,0.005,-0.037,0.134,0.026
1985,0.421,0.364,0.149,0.082
1986,0.511,0.457,0.134,0.098
1987,-0.096,-0.121,0.129,0.071
1988,0.211,0.161,0.13,0.076
1989,0.179,0.113,0.129,0.078
1990,-0.153,-0.201,0.121,0.069
1991,0.275,0.222,0.094,0.015
1992,-0.022,-0.06,0.089,0.003
1993,0.442,0.391,0.067,0.019
1994,-0.058,-0.092,0.1,0.025
1995,0.215,0.165,0.082,0.051
1996,0.117,0.072,0.074,0.015
1997,0.124,0.079,0.061,-0.002
1998,0.119,0.077,0.05,0.016
1999,0.176,0.135,0.07,0.018
2000,0.065,0.029,0.055,0.058
2001,0.061,0.026,0.06,0.031
2002,-0.062,-0.096,0.052,0.03
2003,0.134,0.087,0.056,0.024
2004,0.278,0.228,0.053,0.026
2005,0.206,0.157,0.052,0.028
2006,0.249,0.198,0.059,0.033
2007,0.223,0.179,0.063,0.03
2008,-0.433,-0.458,0.04,0.037
2009,0.404,0.341,0.057,0.021
2010,0.064,0.022,0.055,0.027
2011,-0.085,-0.124,0.0367,0.03
2012,0.138,0.086,0.0327,0.022
2013,0.181,0.133,0.0423,0.027
2014,0.058,0.015,0.0281,0.017
2015,0.027,-0.019,0.029,0.017
2016,0.13,0.083,0.028,0.015
2017,0.136,0.089,0.0263,0.019
2018,-0.03,-0.069,0.023,0.018
2019,0.258,0.208,0.0137,0.018
2020,0.034,0.004,0.0097,0.0084
2021,0.152,0.111,0.0167,0.035
